#GO:0051051
#GO:0048511
#GO:0044848
#GO:0098743
#GO:1904950
#GO:0098754
#GO:0001906
#GO:1903828
#GO:1900047
#GO:0043433
#GO:2000242
#GO:0032845
#GO:0045926
#GO:0043901
#GO:0043473
#GO:0034260
#GO:0002683
#GO:0099531
#GO:0040013
id	fc	signif
DNAJC25-GNG10	-1.3420	false
IGKV2-28	-2.3961	false
IGHV3-64	0.6092	false
IGKV2D-30	-0.2356	false
LOC100509620	0.6891	false
PPIAL4E	-3.2035	false
LOC105371242	2.7318	false
HOXD4	-0.2044	false
TMEM265	0.1204	false
KCNE1B	-1.3724	false
ZNF248	-1.4258	false
A0A087WUJ7	-2.3787	false
A0A087WUU8	-0.1387	false
A0A087WUV0	0.6547	false
CYP3A7-CYP3A51P	0.3022	false
TBC1D3D	-3.0592	false
A0A087WWQ2	1.5612	false
A0A087WWV3	-2.8372	false
MEIKIN	-3.6160	true
TBC1D3I	-0.9979	false
A0A087WYN8	-0.5133	false
FXYD6-FXYD2	1.2435	false
A0A087WZG4	-0.6255	false
A0A087X0B3	0.9738	false
SENP3-EIF4A1	1.5405	false
TBC1D3E	2.2363	false
A0A087X1B8	1.2116	false
A0A087X1C1	-2.1626	false
CYP2D7	-2.4264	false
TBC1D3K	-1.9064	false
A0A088AWK7	-0.0394	false
A0A096LNI8	-1.6823	false
LOC100129216	0.2608	false
A0A096LNY1	-1.2780	false
UQCRHL	2.7742	false
A0A096LP75	-0.5348	false
LOC105369274	-1.0031	false
PTPRS	-1.6612	false
A0A0A0MRY4	1.7302	false
IGHV1-45	0.6811	false
IGHV3-49	-1.2633	false
GSN	-1.9414	false
TNFSF12-TNFSF13	-1.6302	false
TMED7-TICAM2	0.6653	false
GPR75-ASB3	-0.2372	false
ARPC4-TTLL3	0.4446	false
C15orf38-AP3S2	0.2132	false
ZNF559-ZNF177	-1.3738	false
NSG1	1.9352	false
A0A0A6YYJ9	1.2315	false
TGIF2-C20orf24	0.7981	false
RPL17-C18orf32	0.5872	false
IGHV3-15	3.1999	false
IGHV3-21	0.6285	false
IGHV2-26	-0.5320	false
PPAN-P2RY11	2.6149	false
IGHV3-43	-1.7044	false
A0A0B4J203	-1.9645	false
A0A0B4J269	1.1724	false
A0A0B4J293	1.5737	false
A0A0B4J2A0	0.6845	false
PPIAL4C	0.5964	false
LOC101930165	1.4038	false
CCL15-CCL14	-0.0777	false
LOC102724428	-3.3258	false
IGKV3D-20	-1.8211	false
IGHV1-3	0.7032	false
IGHV1-18	1.2228	false
IGHV1-24	-0.8035	false
IGHV1-58	-0.7634	false
IGKV1-12	1.6966	false
MT-RNR1	1.2662	false
EIF3F	1.6080	false
A0A0D9SG24	-0.1113	false
A0A0G2JLL6	0.4362	false
PRAMEF33P	2.4655	false
LOC107984156	0.9773	false
A0A0G2JMP0	-0.3507	false
OVOS	-1.2542	false
A0A0G2JPK8	0.4064	false
A0A0G2JQS4	2.4757	false
A0A0G2JRU3	0.8905	false
A0A0G2JS52	-0.1218	false
A0A0J9YVX5	-1.1313	false
A0A0J9YXB3	-0.5555	false
A0A0U1RQK1	0.3325	false
A0A0U1RQM0	4.7723	false
A0A0U1RQV5	0.4725	false
CENPVL1	-1.5947	false
CENPVL3	-0.3418	false
A0A0X1KG70	-0.3371	false
ZNF816-ZNF321P	-0.7388	false
RNF103-CHMP3	2.0937	false
ZNF812P	2.8393	false
LCE6A	2.4526	false
TUNAR	-0.2118	false
LOC101927685	-0.7898	false
A0A1B0GTW0	0.7877	false
A0A1B0GTW7	2.4167	false
A0A1B0GU03	-0.8077	false
A0A1B0GU76	2.5240	false
A0A1B0GUH1	1.4520	false
A0A1B0GUL7	0.1186	false
A0A1B0GV72	-0.8754	false
A0A1B0GV83	0.5806	false
A0A1B0GVD9	-0.4137	false
PRSS51	-0.2703	false
A0A1B0GVI7	0.3049	false
ABHD14A-ACY1	0.8110	false
A0A1B0GWB2	0.2131	false
LOC101928917	1.4598	false
A0A1B0GWJ7	1.8750	false
A0A1C7CYX0	1.8290	false
KANSL1L	0.3977	false
SLC12A8	1.5451	false
RBM47	1.6541	false
TTC26	-0.9026	false
FER1L5	-0.9318	false
TMEM129	-1.2485	false
E2F8	-1.2247	false
UBA6	-0.1865	false
ESYT2	-0.6309	false
ESYT3	-0.2058	false
MED19	-0.0491	false
IGLC7	0.8216	false
SHTN1	0.9030	false
PLSCR5	-0.4293	false
DHRS12	-1.5577	false
SLC5A10	0.2632	false
TMEM223	-0.6800	false
DAPL1	-1.0375	false
SHISA3	-0.0856	false
FEZF1	-0.3780	false
GXYLT2	0.1631	false
TMEM120B	0.1349	false
PQLC2L	1.6279	false
ARHGAP10	1.4677	false
IRGM	0.1337	false
FAM170A	0.8115	false
ANO9	-4.8192	true
SLC22A23	-0.7744	false
ODAM	1.8755	false
ARHGEF37	-0.6663	false
PXDNL	-1.7547	true
ILVBL	-0.7858	false
TSPAN11	-1.2185	false
UBE2QL1	-0.5889	false
NDUFAF8	0.7919	false
SYCE3	-1.0866	true
PLEKHG3	-0.6292	false
ELOVL7	0.7455	false
PRSS38	-1.5408	false
SSC5D	3.3198	true
SH3PXD2B	0.1073	false
ZBTB7C	-1.0987	false
MACROD2	-0.0669	false
ZC3H12D	1.1157	false
FRMD3	0.1786	false
PTPDC1	0.1869	false
PIPSL	0.5665	false
CCDC78	-0.7202	false
HFM1	5.3836	true
ZNF320	-0.1043	false
NBAS	1.0430	false
TARSL2	0.9183	false
HEATR9	4.0682	false
TESPA1	0.2260	false
HYKK	-2.3498	false
HMX2	0.5514	false
MEIOC	-5.8655	true
CCDC66	-2.1834	false
TYW5	0.4677	false
MYBPHL	-0.5722	false
DENND3	-1.6576	false
CLPSL1	0.8770	false
DCDC2B	-1.0041	false
FUOM	-0.4498	false
KIAA0922	-2.6067	false
SSPO	-1.7698	false
OR2M5	0.3058	false
SBNO1	-1.0008	false
PRAMEF22	1.5444	false
PRAMEF27	0.6222	false
LAMB4	0.4110	false
ISPD	-2.6557	false
GSAP	0.9802	false
GTPBP10	0.9225	false
LRRD1	-1.5303	false
RAB19	2.2248	false
PRSS37	1.5475	false
LCHN	-2.6834	false
CDC14C	-2.7696	false
C7orf72	2.0567	false
PMS2P1	-0.2489	false
OR2A25	0.8997	false
GRID2IP	1.2046	false
EME2	3.0219	true
SLC35F4	-0.6279	false
LRP5L	-0.4136	false
PI4KAP2	-0.9639	false
XIRP2	1.2818	false
POTEF	1.0453	false
FITM1	-0.5548	false
VPS37C	2.6408	false
CCDC151	-1.2241	false
PSMB11	1.6910	false
PSD	1.2060	false
KRBA1	0.7865	false
RGSL1	0.9160	false
TMEM189	-1.4623	false
HTR3E	-0.1625	false
CNOT1	0.0746	false
CARNS1	2.2778	false
MEGF11	2.4539	false
CDHR4	1.3256	false
BDP1	-0.6769	false
C5orf63	-0.1721	false
DPPA5	-0.6919	false
PINLYP	-1.5539	false
CCDC88B	0.5854	false
MAP1LC3B2	-1.7560	false
KLHL33	-0.1178	false
GMNC	-0.7493	false
LRCOL1	0.7503	false
RNF222	0.0786	false
NKX2-6	-1.0629	false
OR6C74	1.8617	false
USP17L3	1.9610	false
USP17L4	0.6554	false
IZUMO1R	-0.2206	false
FAM83G	1.5074	false
OR14I1	2.6424	false
ASPDH	-4.6138	false
PALM3	0.6161	false
SYNDIG1L	-0.3740	false
RBMY1B	-1.5450	false
PGP	-0.8705	false
OR5H15	0.4679	false
METTL21EP	1.4851	false
OR6C68	1.0002	false
MEIS3P1	4.8060	false
TBC1D3B	-0.6489	false
TMEM8B	-2.1137	false
ZNF840P	-0.5372	false
MBD3L4	-1.4505	false
BTBD17	0.9655	false
WDR97	0.0604	false
MBD3L3	0.0997	false
NPEPPSL1	-1.1432	false
ARRDC5	-2.5423	false
FAM86C2P	1.7153	false
RBMY1E	-0.6189	false
TBC1D3F	-0.4181	false
OR5K3	-2.4584	false
PRORSD1P	-1.1228	false
POM121B	0.0733	false
CCDC182	0.7763	false
NUPR2	-0.5946	false
OR6C6	-0.5908	false
TRABD2B	-0.5519	false
OR2W5	0.7841	false
HELT	0.1447	false
NAP1L6	-2.4462	false
FABP12	0.2746	false
ZNF316	2.1078	false
GRXCR2	-0.3899	false
RBFOX3	0.3397	false
TCAF2	-1.7936	false
DPRX	-2.2911	false
CFAP73	1.6162	false
PGPEP1L	-1.0986	false
MFSD2B	1.7991	false
SDHAF1	0.7501	false
MGAT4D	2.2744	false
WIPF3	1.4194	false
ZSCAN5C	1.1609	false
URAD	-0.0902	false
C2orf71	-0.5918	false
PRAMEF25	1.8549	false
OOEP	-2.0923	false
GGT3P	-0.1602	false
STRCP1	0.9097	false
OR51F1	1.4426	false
OR2T8	-1.0997	false
GLTPD2	-3.3636	false
SERINC4	-0.5372	false
TVP23A	2.2303	false
ARL5C	2.4114	false
OR4C46	1.3111	false
CAPN8	1.0019	false
OR5H14	-2.9057	false
ZNF860	-0.3079	false
TUBAL3	1.4003	false
MOXD2P	2.3623	false
SPDYE2B	2.6704	false
FBLL1	0.2952	false
C17orf96	1.2300	false
SMCHD1	-0.9516	false
HMX3	-1.2911	false
GATSL2	0.6736	false
ANKDD1B	0.8326	false
MSGN1	-0.1997	false
ARHGAP42	2.5241	false
TMEM8C	-0.5456	false
NCF1B	-0.1945	false
LILRA5	-0.0069	false
PRSS29P	-0.7754	false
UNC119B	2.0907	false
OR6C70	0.6753	false
CRYM-AS1	0.6586	false
SLC15A5	2.4764	false
AGAP5	-0.7592	false
WTIP	-0.2126	false
SPDYE5	1.1107	false
A6NIZ1	0.5953	false
MBD3L5	-1.6007	false
NKX6-3	-0.3271	false
METTL15	1.1237	false
ARGFX	1.1347	false
LRRC72	-1.4192	true
ZSCAN5B	2.4508	false
UNCX	2.0386	true
CD8BP	-0.9610	false
